x	y
1.044902	0.783360
0.543187	1.044902
1.418419	0.543187
-0.448955	1.418419
1.623965	-0.448955
-1.371948	1.623965
0.004948	-1.371948
0.988391	0.004948
0.424567	0.988391
1.516260	0.424567
-0.771674	1.516260
1.259398	-0.771674
-0.417585	1.259398
1.603442	-0.417585
-1.296303	1.603442
0.200632	-1.296303
0.970856	0.200632
0.517628	0.970856
1.423318	0.517628
-0.470546	1.423318
1.605582	-0.470546
-1.319057	1.605582
0.141764	-1.319057
0.984186	0.141764
0.473907	0.984186
1.470668	0.473907
-0.620691	1.470668
1.455943	-0.620691
-0.905977	1.455943
1.015988	-0.905977
0.095976	1.015988
1.695585	0.095976
-1.446216	1.695585
-0.182864	-1.446216
0.932696	-0.182864
0.475219	0.932696
1.453976	0.475219
-0.571480	1.453976
1.509604	-0.571480
-1.050347	1.509604
0.749652	-1.050347
0.522918	0.749652
1.351452	0.522918
-0.269547	1.351452
1.732780	-0.269547
-1.683390	1.732780
-0.913969	-1.683390
0.059643	-0.913969
1.122252	0.059643
0.158443	1.122252
1.711571	0.158443
-1.481943	1.711571
-0.282684	-1.481943
0.875507	-0.282684
0.548683	0.875507
1.361599	0.548683
-0.289348	1.361599
1.724757	-0.289348
-1.661592	1.724757
-0.843462	-1.661592
0.190094	-0.843462
1.110826	0.190094
0.223094	1.110826
1.683477	0.223094
-1.367165	1.683477
0.035902	-1.367165
0.988561	0.035902
0.433517	0.988561
1.508632	0.433517
-0.745914	1.508632
1.296201	-0.745914
-0.503912	1.296201
1.534933	-0.503912
-1.107193	1.534933
0.634605	-1.107193
0.665119	0.634605
1.147998	0.665119
0.281637	1.147998
1.665080	0.281637
-1.288000	1.665080
0.240580	-1.288000
0.955721	0.240580
0.558770	0.955721
1.374492	0.558770
-0.321597	1.374492
1.708923	-0.321597
-1.616896	1.708923
-0.701677	-1.616896
0.422581	-0.701677
1.010922	0.422581
0.504811	1.010922
1.448443	0.504811
-0.546544	1.448443
1.535823	-0.546544
-1.122714	1.535823
0.600260	-1.122714
0.702874	0.600260
1.086046	0.702874
0.431366	1.086046
1.539737	0.431366
-0.841380	1.539737
1.154000	-0.841380
-0.184131	1.154000
1.712296	-0.184131
-1.587197	1.712296
-0.605504	-1.587197
0.557206	-0.605504
0.907871	0.557206
0.742933	0.907871
1.120412	0.742933
0.367556	1.120412
1.601027	0.367556
-1.053019	1.601027
0.771458	-1.053019
0.488947	0.771458
1.392368	0.488947
-0.392006	1.392368
1.664042	-0.392006
-1.486637	1.664042
-0.310877	-1.486637
0.857364	-0.310877
0.571663	0.857364
1.330410	0.571663
-0.198492	1.330410
1.759724	-0.198492
-1.756176	1.759724
-1.156237	-1.756176
-0.463736	-1.156237
0.838078	-0.463736
0.558505	0.838078
1.339496	0.558505
-0.226698	1.339496
1.750457	-0.226698
-1.732108	1.750457
-1.075061	-1.732108
-0.275389	-1.075061
1.001642	-0.275389
0.314096	1.001642
1.601837	0.314096
-1.071651	1.601837
0.732114	-1.071651
0.542513	0.732114
1.325313	0.542513
-0.193701	1.325313
1.760074	-0.193701
-1.755970	1.760074
-1.155409	-1.755970
-0.461761	-1.155409
0.840154	-0.461761
0.555612	0.840154
1.343341	0.555612
-0.237882	1.343341
1.746415	-0.237882
-1.721328	1.746415
-1.039047	-1.721328
-0.196016	-1.039047
1.049864	-0.196016
0.238982	1.049864
1.657847	0.238982
-1.276762	1.657847
0.267233	-1.276762
0.945558	0.267233
0.586090	0.945558
1.340166	0.586090
-0.220217	1.340166
1.753554	-0.220217
-1.741017	1.753554
-1.105075	-1.741017
-0.343496	-1.105075
0.950488	-0.343496
0.393523	0.950488
1.530286	0.393523
-0.823718	1.530286
1.180575	-0.823718
-0.240872	1.180575
1.696153	-0.240872
-1.549196	1.696153
-0.491164	-1.549196
0.693999	-0.491164
0.771016	0.693999
1.013734	0.771016
0.603648	1.013734
1.339729	0.603648
-0.213779	1.339729
1.756217	-0.213779
-1.748433	1.756217
-1.130152	-1.748433
-0.401773	-1.130152
0.899533	-0.401773
0.470309	0.899533
1.448670	0.470309
-0.557551	1.448670
1.523738	-0.557551
-1.089042	1.523738
0.671109	-1.089042
0.622900	0.671109
1.213328	0.622900
0.114704	1.213328
1.750842	0.114704
-1.631035	1.750842
-0.735022	-1.631035
0.370432	-0.735022
1.042273	0.370432
0.424796	1.042273
1.532230	0.424796
-0.820290	1.532230
1.186793	-0.820290
-0.254564	1.186793
1.691235	-0.254564
-1.536645	1.691235
-0.453907	-1.536645
0.732975	-0.453907
0.726575	0.732975
1.091981	0.726575
0.425550	1.091981
1.546502	0.425550
-0.864003	1.546502
1.117450	-0.864003
-0.107895	1.117450
1.723594	-0.107895
-1.603144	1.723594
-0.652991	-1.603144
0.492660	-0.652991
0.961389	0.492660
0.623529	0.961389
1.299629	0.623529
-0.101976	1.299629
1.779489	-0.101976
-1.797176	1.779489
-1.295993	-1.797176
-0.818752	-1.295993
0.340848	-0.818752
1.038197	0.340848
0.424400	1.038197
1.531343	0.424400
-0.817693	1.531343
1.190782	-0.817693
-0.263269	1.190782
1.687924	-0.263269
-1.528068	1.687924
-0.428614	-1.528068
0.757869	-0.428614
0.697050	0.757869
1.141483	0.697050
0.306132	1.141483
1.648728	0.306132
-1.226464	1.648728
0.390405	-1.226464
0.879645	0.390405
0.743346	0.879645
1.111330	0.743346
0.387950	1.111330
1.582893	0.387950
-0.989166	1.582893
0.896418	-0.989166
0.299685	0.896418
1.579114	0.299685
-1.003696	1.579114
0.866328	-1.003696
0.348367	0.866328
1.538539	0.348367
-0.862593	1.538539
1.117496	-0.862593
-0.107574	1.117496
1.723676	-0.107574
-1.603333	1.723676
-0.653573	-1.603333
0.491842	-0.653573
0.962019	0.491842
0.622072	0.962019
1.301633	0.622072
-0.107626	1.301633
1.778906	-0.107626
-1.796796	1.778906
-1.294804	-1.796796
-0.815555	-1.294804
0.346429	-0.815555
1.035320	0.346429
0.432040	1.035320
1.523937	0.432040
-0.792773	1.523937
1.228693	-0.792773
-0.347517	1.228693
1.647840	-0.347517
-1.419630	1.647840
-0.120998	-1.419630
0.959470	-0.120998
0.443117	0.959470
1.491488	0.443117
-0.691602	1.491488
1.369133	-0.691602
-0.682006	1.369133
1.345608	-0.682006
-0.615262	1.345608
1.425135	-0.615262
-0.815588	1.425135
1.162356	-0.815588
-0.195748	1.162356
1.710389	-0.195748
-1.584156	1.710389
-0.596435	-1.584156
0.569019	-0.596435
0.897287	0.569019
0.765581	0.897287
1.083072	0.765581
0.456629	1.083072
1.516412	0.456629
-0.762517	1.516412
1.273492	-0.762517
-0.450536	1.273492
1.579065	-0.450536
-1.228607	1.579065
0.364244	-1.228607
0.898744	0.364244
0.701533	0.898744
1.177475	0.701533
0.224012	1.177475
1.703061	0.224012
-1.433214	1.703061
-0.143184	-1.433214
0.949534	-0.143184
0.455430	0.949534
1.477444	0.455430
-0.646213	1.477444
1.425643	-0.646213
-0.826321	1.425643
1.144887	-0.826321
-0.158663	1.144887
1.718292	-0.158663
-1.600127	1.718292
-0.644919	-1.600127
0.504041	-0.644919
0.952467	0.504041
0.644019	0.952467
1.270980	0.644019
-0.022185	1.270980
1.780802	-0.022185
-1.777911	1.780802
-1.226726	-1.777911
-0.638229	-1.226726
0.624646	-0.638229
0.818348	0.624646
0.917700	0.818348
0.803332	0.917700
1.029968	0.803332
0.580166	1.029968
1.372398	0.580166
-0.309426	1.372398
1.715975	-0.309426
-1.637398	1.715975
-0.766278	-1.637398
0.321598	-0.766278
1.066691	0.321598
0.358650	1.066691
1.591378	0.358650
-1.024888	1.591378
0.827018	-1.024888
0.408575	0.827018
1.481172	0.408575
-0.671299	1.481172
1.393710	-0.671299
-0.743816	1.393710
1.264850	-0.743816
-0.422991	1.264850
1.600534	-0.422991
-1.288606	1.600534
0.219656	-1.288606
0.965170	0.219656
0.534344	0.965170
1.404027	0.534344
-0.410989	1.404027
1.652296	-0.410989
-1.453379	1.652296
-0.216620	-1.453379
0.917062	-0.216620
0.494011	0.917062
1.431072	0.494011
-0.499762	1.431072
1.579559	-0.499762
-1.244935	1.579559
0.324004	-1.244935
0.921541	0.324004
0.647964	0.921541
1.256605	0.647964
0.015333	1.256605
1.776746	0.015333
-1.752228	1.776746
-1.137278	-1.752228
-0.419070	-1.137278
0.883197	-0.419070
0.494242	0.883197
1.420684	0.494242
-0.470069	1.420684
1.605240	-0.470069
-1.317816	1.605240
0.144933	-1.317816
0.983650	0.144933
0.475913	0.983650
1.468602	0.475913
-0.614017	1.468602
1.463563	-0.614017
-0.926223	1.463563
0.981180	-0.926223
0.159419	0.981180
1.668939	0.159419
-1.337533	1.668939
0.111687	-1.337533
0.986266	0.111687
0.460785	0.986266
1.483557	0.460785
-0.662705	1.483557
1.405889	-0.662705
-0.775334	1.405889
1.220623	-0.775334
-0.322522	1.220623
1.662167	-0.322522
-1.459555	1.662167
-0.231650	-1.459555
0.908472	-0.231650
0.505184	0.908472
1.417330	0.505184
-0.457270	1.417330
1.616103	-0.457270
-1.348970	1.616103
0.065110	-1.348970
0.991070	0.065110
0.437314	0.991070
1.506077	0.437314
-0.737075	1.506077
1.308544	-0.737075
-0.533410	1.308544
1.508037	-0.533410
-1.034199	1.508037
0.782844	-1.034199
0.476895	0.782844
1.407424	0.476895
-0.437774	1.407424
1.630581	-0.437774
-1.390126	1.630581
-0.043277	-1.390126
0.981089	-0.043277
0.424481	0.981089
1.514143	0.424481
-0.765284	1.514143
1.268583	-0.765284
-0.438889	1.268583
1.587952	-0.438889
-1.253258	1.587952
0.305731	-1.253258
0.930551	0.305731
0.625794	0.930551
1.287548	0.625794
-0.070041	1.287548
1.781359	-0.070041
-1.794251	1.781359
-1.284928	-1.794251
-0.789315	-1.284928
0.391503	-0.789315
1.009931	0.391503
0.497491	1.009931
1.455482	0.497491
-0.569180	1.455482
1.512679	-0.569180
-1.058951	1.512679
0.732427	-1.058951
0.545866	0.732427
1.321758	0.545866
-0.183285	1.321758
1.762934	-0.183285
-1.762922	1.762934
-1.179014	-1.762922
-0.518952	-1.179014
0.776985	-0.518952
0.640609	0.776985
1.222716	0.640609
0.097149	1.222716
1.757377	0.097149
-1.659229	1.757377
-0.825828	-1.659229
0.220239	-0.825828
1.103746	0.220239
0.247816	1.103746
1.669711	0.247816
-1.313590	1.669711
0.175395	-1.313590
0.975160	0.175395
0.501682	0.975160
1.440863	0.501682
-0.525582	1.440863
1.556022	-0.525582
-1.178879	1.556022
0.477050	-1.178879
0.818760	0.477050
0.872748	0.818760
0.883939	0.872748
0.880476	0.883939
0.889944	0.880476
0.872142	0.889944
0.906352	0.872142
0.840168	0.906352
0.966023	0.840168
0.718849	0.966023
1.173062	0.718849
0.239579	1.173062
1.694520	0.239579
-1.399526	1.694520
-0.050316	-1.399526
0.977611	-0.050316
0.429183	0.977611
1.509085	0.429183
-0.748584	1.509085
1.292348	-0.748584
-0.494738	1.292348
1.542939	-0.494738
-1.129081	1.542939
0.588058	-1.129081
0.715464	0.588058
1.064529	0.715464
0.481418	1.064529
1.487595	0.481418
-0.668514	1.487595
1.399368	-0.668514
-0.758785	1.399368
1.244056	-0.758785
-0.375311	1.244056
1.632359	-0.375311
-1.377188	1.632359
-0.006938	-1.377188
0.986796	-0.006938
0.424153	0.986796
1.516133	0.424153
-0.771413	1.516133
1.259762	-0.771413
-0.418424	1.259762
1.602850	-0.418424
-1.294655	1.602850
0.204723	-1.294655
0.969692	0.204723
0.521114	0.969692
1.419348	0.521114
-0.458214	1.419348
1.615844	-0.458214
-1.348417	1.615844
0.066525	-1.348417
0.991049	0.066525
0.437779	0.991049
1.505665	0.437779
-0.735692	1.505665
1.310456	-0.735692
-0.538003	1.310456
1.503689	-0.538003
-1.022482	1.503689
0.805637	-1.022482
0.444204	0.805637
1.444373	0.444204
-0.552953	1.444373
1.527555	-0.552953
-1.099309	1.527555
0.649786	-1.099309
0.647986	0.649786
1.175050	0.647986
0.213654	1.175050
1.706867	0.213654
-1.449299	1.706867
-0.188408	-1.449299
0.929713	-0.188408
0.479112	0.929713
1.449365	0.479112
-0.556926	1.449365
1.524643	-0.556926
-1.091614	1.524643
0.665772	-1.091614
0.629263	0.665772
1.203760	0.629263
0.139742	1.203760
1.741600	0.139742
-1.591249	1.741600
-0.609592	-1.591249
0.551023	-0.609592
0.913496	0.551023
0.730832	0.913496
1.139934	0.730832
0.319800	1.139934
1.639708	0.319800
-1.192702	1.639708
0.469374	-1.192702
0.821877	0.469374
0.865330	0.821877
0.897768	0.865330
0.853612	0.897768
0.940677	0.853612
0.771210	0.940677
1.087438	0.771210
0.448841	1.087438
